Decision tree accuracy: 98.002853067%
['Predicted label: e', 'f', 'f', 'g', 'f', 'n', 'f', 'w', 'b', 'n', 't', 'f', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'k', 'a', 'g']
['Predicted label: e', 'x', 'f', 'g', 'f', 'n', 'f', 'w', 'b', 'k', 't', 'f', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'k', 'a', 'g']
['Predicted label: e', 'k', 's', 'n', 'f', 'n', 'a', 'c', 'b', 'y', 'e', 's', 's', 'o', 'o', 'p', 'n', 'o', 'p', 'o', 'v', 'l']
['Predicted label: e', 'x', 'f', 'e', 't', 'n', 'f', 'c', 'b', 'w', 't', 's', 's', 'p', 'p', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'f', 'f', 'w', 'f', 'n', 'f', 'w', 'b', 'n', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 'a', 'g']
['Predicted label: p', 'x', 'f', 'p', 'f', 'c', 'f', 'w', 'n', 'u', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: e', 'f', 's', 'w', 'f', 'n', 'f', 'w', 'b', 'p', 't', 's', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'k', 's', 'g']
['Predicted label: p', 'f', 'y', 'y', 'f', 'f', 'f', 'c', 'b', 'g', 'e', 'k', 'k', 'p', 'n', 'p', 'w', 'o', 'l', 'h', 'y', 'p']
['Predicted label: e', 'x', 'y', 'w', 't', 'a', 'f', 'c', 'b', 'w', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 's', 'm']
['Predicted label: e', 'f', 'f', 'e', 't', 'n', 'f', 'c', 'b', 'w', 't', 's', 's', 'g', 'p', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'k', 's', 'n', 't', 'n', 'f', 'c', 'b', 'e', 'e', 's', 's', 'e', 'e', 'p', 'w', 't', 'e', 'w', 'c', 'w']
['Predicted label: e', 'x', 'y', 'y', 't', 'a', 'f', 'c', 'b', 'p', 'e', 's', 'y', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'y', 'p']
['Predicted label: e', 'x', 'y', 'w', 't', 'a', 'f', 'c', 'b', 'n', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 's', 'g']
['Predicted label: e', 'f', 'y', 'g', 't', 'n', 'f', 'c', 'b', 'p', 't', 's', 's', 'p', 'p', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'b', 'y', 'w', 't', 'l', 'f', 'c', 'b', 'n', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 's', 'm']
['Predicted label: e', 'f', 'f', 'e', 't', 'n', 'f', 'c', 'b', 'p', 't', 's', 's', 'p', 'p', 'p', 'w', 'o', 'p', 'n', 'y', 'd']
['Predicted label: p', 'f', 's', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 'k', 'k', 'w', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: e', 'f', 'f', 'n', 'f', 'n', 'f', 'w', 'b', 'h', 't', 'f', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 's', 'g']
['Predicted label: p', 'f', 's', 'b', 't', 'f', 'f', 'c', 'b', 'p', 't', 'f', 'f', 'w', 'w', 'p', 'w', 'o', 'p', 'h', 's', 'g']
['Predicted label: p', 'x', 's', 'w', 't', 'f', 'f', 'c', 'b', 'w', 't', 's', 'f', 'w', 'w', 'p', 'w', 'o', 'p', 'h', 'v', 'g']
['Predicted label: p', 'x', 'f', 'g', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'p', 'p', 'p', 'w', 'o', 'l', 'h', 'y', 'g']
['Predicted label: e', 'x', 'y', 'p', 't', 'n', 'f', 'c', 'b', 'e', 'e', 's', 's', 'e', 'w', 'p', 'w', 't', 'e', 'w', 'c', 'w']
['Predicted label: p', 'f', 'f', 'g', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'b', 'n', 'p', 'w', 'o', 'l', 'h', 'v', 'd']
['Predicted label: p', 'x', 's', 'e', 'f', 's', 'f', 'c', 'n', 'b', 't', 's', 'k', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'l']
['Predicted label: e', 'b', 'f', 'y', 'f', 'n', 'f', 'c', 'n', 'w', 'e', 'k', 'y', 'w', 'n', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: e', 'b', 's', 'n', 'f', 'n', 'a', 'c', 'b', 'y', 'e', 's', 's', 'o', 'o', 'p', 'o', 'o', 'p', 'o', 'v', 'l']
['Predicted label: p', 'f', 's', 'e', 'f', 'y', 'f', 'c', 'n', 'b', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'l']
['Predicted label: e', 'x', 'y', 'n', 't', 'a', 'f', 'c', 'b', 'w', 'e', 's', 'y', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'y', 'g']
['Predicted label: e', 'k', 's', 'n', 'f', 'n', 'a', 'c', 'b', 'o', 'e', 's', 's', 'o', 'o', 'p', 'n', 'o', 'p', 'n', 'c', 'l']
['Predicted label: p', 'f', 'f', 'y', 'f', 'f', 'f', 'c', 'b', 'p', 'e', 'k', 'k', 'p', 'n', 'p', 'w', 'o', 'l', 'h', 'y', 'd']
['Predicted label: p', 'k', 's', 'e', 'f', 'y', 'f', 'c', 'n', 'b', 't', 'k', 's', 'w', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: e', 'f', 's', 'g', 'f', 'n', 'f', 'w', 'b', 'n', 't', 'f', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 'a', 'g']
['Predicted label: p', 'k', 'y', 'n', 'f', 's', 'f', 'c', 'n', 'b', 't', 'k', 's', 'w', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'l']
['Predicted label: p', 'x', 's', 'w', 'f', 'c', 'f', 'w', 'n', 'p', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: e', 'x', 'y', 'y', 't', 'a', 'f', 'c', 'b', 'n', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'n', 'm']
['Predicted label: e', 'x', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'u', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'p', 'n', 'y', 'd']
['Predicted label: e', 'x', 'f', 'e', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'g', 'g', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: p', 'x', 's', 'g', 't', 'f', 'f', 'c', 'b', 'w', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'h', 'v', 'g']
['Predicted label: e', 'x', 's', 'y', 't', 'l', 'f', 'c', 'b', 'w', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 's', 'g']
['Predicted label: e', 'b', 'f', 'w', 'f', 'n', 'f', 'w', 'b', 'w', 'e', 's', 's', 'w', 'w', 'p', 'w', 't', 'p', 'w', 's', 'g']
['Predicted label: e', 'b', 's', 'n', 'f', 'n', 'a', 'c', 'b', 'y', 'e', 's', 's', 'o', 'o', 'p', 'n', 'o', 'p', 'y', 'v', 'l']
['Predicted label: p', 'f', 'y', 'n', 'f', 's', 'f', 'c', 'n', 'b', 't', 's', 'k', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: p', 'x', 's', 'n', 'f', 's', 'f', 'c', 'n', 'b', 't', 's', 'k', 'p', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: p', 'f', 'y', 'y', 'f', 'f', 'f', 'c', 'b', 'g', 'e', 'k', 'k', 'p', 'n', 'p', 'w', 'o', 'l', 'h', 'y', 'g']
['Predicted label: p', 'f', 'y', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: e', 'x', 'f', 'n', 't', 'n', 'f', 'c', 'b', 'w', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'p', 'k', 'y', 'd']
['Predicted label: p', 'x', 's', 'w', 'f', 'c', 'f', 'w', 'n', 'u', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: p', 'x', 's', 'e', 'f', 'y', 'f', 'c', 'n', 'b', 't', 's', 'k', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: e', 'x', 'f', 'g', 'f', 'n', 'f', 'w', 'b', 'h', 't', 's', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'k', 's', 'g']
['Predicted label: p', 'x', 'y', 'n', 'f', 'y', 'f', 'c', 'n', 'b', 't', 'k', 's', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: p', 'x', 'y', 'n', 'f', 'f', 'f', 'c', 'n', 'b', 't', 'k', 'k', 'p', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'l']
['Predicted label: e', 'k', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'w', 'e', 's', 's', 'e', 'e', 'p', 'w', 't', 'e', 'w', 'c', 'w']
['Predicted label: p', 'k', 's', 'e', 'f', 's', 'f', 'c', 'n', 'b', 't', 's', 'k', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: e', 'x', 'f', 'y', 't', 'l', 'f', 'w', 'n', 'w', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'u', 'v', 'd']
['Predicted label: e', 'b', 'y', 'y', 't', 'l', 'f', 'c', 'b', 'k', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'n', 'g']
['Predicted label: p', 'x', 'f', 'g', 'f', 'f', 'f', 'c', 'b', 'p', 'e', 'k', 'k', 'p', 'n', 'p', 'w', 'o', 'l', 'h', 'y', 'p']
['Predicted label: e', 'f', 'y', 'g', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'w', 'p', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: p', 'f', 's', 'g', 't', 'f', 'f', 'c', 'b', 'h', 't', 'f', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'h', 's', 'u']
['Predicted label: e', 'x', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'p', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: p', 'x', 's', 'w', 'f', 'c', 'f', 'c', 'n', 'g', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 's', 'd']
['Predicted label: e', 'x', 'y', 'e', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'g', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: e', 'x', 'f', 'g', 't', 'n', 'f', 'c', 'b', 'p', 't', 's', 's', 'g', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'x', 'y', 'w', 't', 'l', 'f', 'c', 'b', 'g', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'n', 'm']
['Predicted label: p', 'f', 's', 'e', 'f', 's', 'f', 'c', 'n', 'b', 't', 'k', 'k', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: e', 'f', 's', 'w', 'f', 'n', 'f', 'w', 'b', 'h', 't', 'f', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 's', 'g']
['Predicted label: p', 'f', 'y', 'e', 'f', 'y', 'f', 'c', 'n', 'b', 't', 's', 'k', 'w', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: p', 'f', 'y', 'n', 'f', 's', 'f', 'c', 'n', 'b', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: p', 'k', 'y', 'n', 'f', 's', 'f', 'c', 'n', 'b', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'l']
['Predicted label: e', 'x', 's', 'w', 'f', 'n', 'f', 'w', 'b', 'p', 'e', 's', 'k', 'w', 'w', 'p', 'w', 't', 'p', 'w', 'n', 'g']
['Predicted label: p', 'f', 'f', 'y', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'b', 'n', 'p', 'w', 'o', 'l', 'h', 'y', 'g']
['Predicted label: e', 'f', 'f', 'w', 'f', 'n', 'f', 'w', 'b', 'h', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'k', 'a', 'g']
['Predicted label: p', 'x', 'y', 'y', 'f', 'f', 'f', 'c', 'b', 'g', 'e', 'k', 'k', 'n', 'p', 'p', 'w', 'o', 'l', 'h', 'v', 'd']
['Predicted label: p', 'f', 'y', 'n', 'f', 's', 'f', 'c', 'n', 'b', 't', 'k', 's', 'w', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'l']
['Predicted label: p', 'k', 's', 'e', 'f', 'y', 'f', 'c', 'n', 'b', 't', 'k', 'k', 'p', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: p', 'x', 'y', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 's', 'k', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: p', 'x', 's', 'n', 'f', 'y', 'f', 'c', 'n', 'b', 't', 'k', 's', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: e', 'b', 'y', 'y', 't', 'l', 'f', 'c', 'b', 'k', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 's', 'm']
['Predicted label: e', 'f', 's', 'g', 'f', 'n', 'f', 'w', 'b', 'n', 't', 'f', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 's', 'g']
['Predicted label: p', 'x', 'y', 'n', 't', 'p', 'f', 'c', 'n', 'n', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'u']
['Predicted label: p', 'x', 'y', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 's', 'k', 'w', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: p', 'f', 'f', 'g', 'f', 'f', 'f', 'c', 'b', 'p', 'e', 'k', 'k', 'p', 'n', 'p', 'w', 'o', 'l', 'h', 'y', 'd']
['Predicted label: e', 'b', 's', 'w', 't', 'a', 'f', 'c', 'b', 'g', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 's', 'm']
['Predicted label: p', 'k', 'y', 'n', 'f', 'y', 'f', 'c', 'n', 'b', 't', 'k', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: p', 'f', 's', 'e', 'f', 'y', 'f', 'c', 'n', 'b', 't', 's', 'k', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: p', 'f', 'y', 'y', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'n', 'b', 'p', 'w', 'o', 'l', 'h', 'v', 'd']
['Predicted label: p', 'x', 'f', 'g', 'f', 'c', 'f', 'c', 'n', 'g', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 's', 'd']
['Predicted label: p', 'f', 'f', 'g', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'b', 'b', 'p', 'w', 'o', 'l', 'h', 'v', 'g']
['Predicted label: p', 'f', 's', 'w', 't', 'f', 'f', 'c', 'b', 'h', 't', 'f', 'f', 'w', 'w', 'p', 'w', 'o', 'p', 'h', 's', 'g']
['Predicted label: e', 'f', 'f', 'n', 'f', 'n', 'f', 'w', 'b', 'p', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'k', 'a', 'g']
['Predicted label: e', 'k', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'w', 'e', 's', 's', 'w', 'e', 'p', 'w', 't', 'e', 'w', 'c', 'w']
['Predicted label: p', 'k', 'y', 'c', 'f', 'm', 'f', 'c', 'b', 'y', 'e', 'k', 'y', 'c', 'c', 'p', 'w', 'n', 'n', 'w', 'c', 'd']
['Predicted label: p', 'x', 'y', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 's', 'k', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: e', 'x', 's', 'g', 'f', 'n', 'f', 'w', 'b', 'n', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 's', 'g']
['Predicted label: p', 'f', 'y', 'y', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'b', 'b', 'p', 'w', 'o', 'l', 'h', 'v', 'p']
['Predicted label: p', 'f', 'f', 'y', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'b', 'b', 'p', 'w', 'o', 'l', 'h', 'v', 'g']
['Predicted label: p', 'f', 'f', 'y', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'p', 'n', 'p', 'w', 'o', 'l', 'h', 'y', 'p']
['Predicted label: e', 'x', 's', 'y', 't', 'l', 'f', 'c', 'b', 'w', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'n', 'm']
['Predicted label: e', 'x', 's', 'e', 't', 'n', 'f', 'c', 'b', 'w', 'e', 's', 's', 'w', 'w', 'p', 'w', 't', 'e', 'w', 'c', 'w']
['Predicted label: p', 'k', 'y', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 's', 's', 'p', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: e', 'x', 's', 'w', 't', 'l', 'f', 'c', 'b', 'n', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 's', 'g']
['Predicted label: p', 'x', 's', 'w', 't', 'f', 'f', 'c', 'b', 'w', 't', 's', 'f', 'w', 'w', 'p', 'w', 'o', 'p', 'h', 's', 'g']
['Predicted label: e', 'f', 'y', 'y', 't', 'a', 'f', 'c', 'b', 'n', 'e', 's', 'y', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'y', 'p']
['Predicted label: e', 'f', 'f', 'w', 't', 'l', 'f', 'w', 'n', 'w', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: p', 'x', 'y', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'l']
['Predicted label: e', 'x', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'g', 'g', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: e', 'f', 'y', 'g', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: e', 'k', 's', 'n', 'f', 'n', 'a', 'c', 'b', 'o', 'e', 's', 's', 'o', 'o', 'p', 'o', 'o', 'p', 'o', 'v', 'l']
['Predicted label: p', 'k', 's', 'n', 'f', 'y', 'f', 'c', 'n', 'b', 't', 'k', 's', 'p', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: e', 'b', 's', 'n', 'f', 'n', 'a', 'c', 'b', 'o', 'e', 's', 's', 'o', 'o', 'p', 'n', 'o', 'p', 'o', 'v', 'l']
['Predicted label: p', 'x', 'y', 'n', 'f', 'y', 'f', 'c', 'n', 'b', 't', 'k', 'k', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: p', 'x', 's', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: p', 'f', 'f', 'y', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'n', 'b', 'p', 'w', 'o', 'l', 'h', 'v', 'g']
['Predicted label: p', 'k', 'y', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 's', 'k', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: p', 'x', 's', 'p', 'f', 'c', 'f', 'c', 'n', 'n', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'k', 's', 'b', 't', 'n', 'f', 'c', 'b', 'w', 'e', 's', 's', 'e', 'e', 'p', 'w', 't', 'e', 'w', 'c', 'w']
['Predicted label: e', 'b', 's', 'w', 't', 'l', 'f', 'c', 'b', 'g', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 's', 'g']
['Predicted label: p', 'x', 'y', 'g', 'f', 'f', 'f', 'c', 'b', 'p', 'e', 'k', 'k', 'n', 'b', 'p', 'w', 'o', 'l', 'h', 'y', 'g']
['Predicted label: e', 'x', 's', 'n', 'f', 'n', 'f', 'w', 'b', 'n', 't', 's', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 's', 'g']
['Predicted label: e', 'x', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'w', 't', 's', 's', 'p', 'p', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'f', 'f', 'y', 't', 'l', 'f', 'w', 'n', 'w', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: p', 'x', 's', 'w', 'f', 'c', 'f', 'c', 'n', 'p', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: p', 'x', 's', 'w', 'f', 'c', 'f', 'w', 'n', 'n', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: p', 'x', 'f', 'w', 'f', 'c', 'f', 'w', 'n', 'u', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'b', 's', 'w', 't', 'a', 'f', 'c', 'b', 'g', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'n', 'm']
['Predicted label: e', 'b', 'y', 'w', 't', 'a', 'f', 'c', 'b', 'k', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'n', 'm']
['Predicted label: e', 'x', 's', 'g', 'f', 'n', 'f', 'w', 'b', 'w', 'e', 's', 's', 'w', 'w', 'p', 'w', 't', 'p', 'w', 's', 'g']
['Predicted label: e', 'f', 's', 'n', 'f', 'n', 'a', 'c', 'b', 'y', 'e', 's', 's', 'o', 'o', 'p', 'o', 'o', 'p', 'o', 'c', 'l']
['Predicted label: p', 'f', 'y', 'y', 'f', 'f', 'f', 'c', 'b', 'g', 'e', 'k', 'k', 'p', 'n', 'p', 'w', 'o', 'l', 'h', 'v', 'd']
['Predicted label: p', 'x', 'y', 'g', 'f', 'f', 'f', 'c', 'b', 'g', 'e', 'k', 'k', 'b', 'b', 'p', 'w', 'o', 'l', 'h', 'y', 'd']
['Predicted label: p', 'x', 'y', 'g', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'p', 'b', 'p', 'w', 'o', 'l', 'h', 'y', 'p']
['Predicted label: e', 'x', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'p', 't', 's', 's', 'g', 'g', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: e', 'x', 'f', 'e', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'g', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd']
['Predicted label: e', 'f', 's', 'g', 'f', 'n', 'f', 'w', 'b', 'h', 't', 's', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 'a', 'g']
['Predicted label: e', 'f', 'f', 'e', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'p', 'n', 'y', 'd']
['Predicted label: p', 'x', 'y', 'e', 'f', 's', 'f', 'c', 'n', 'b', 't', 's', 'k', 'w', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'l']
['Predicted label: e', 'k', 's', 'w', 'f', 'n', 'f', 'w', 'b', 'p', 'e', 's', 'k', 'w', 'w', 'p', 'w', 't', 'p', 'w', 's', 'g']
['Predicted label: p', 'f', 'y', 'y', 'f', 'f', 'f', 'c', 'b', 'p', 'e', 'k', 'k', 'n', 'p', 'p', 'w', 'o', 'l', 'h', 'v', 'g']
['Predicted label: e', 'f', 'f', 'e', 't', 'n', 'f', 'c', 'b', 'p', 't', 's', 's', 'p', 'p', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'x', 'f', 'n', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'f', 'f', 'g', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'p', 'g', 'p', 'w', 'o', 'p', 'n', 'v', 'd']
['Predicted label: e', 'f', 'f', 'g', 't', 'n', 'f', 'c', 'b', 'n', 't', 's', 's', 'p', 'p', 'p', 'w', 'o', 'p', 'n', 'y', 'd']
['Predicted label: p', 'k', 'y', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 'k', 'k', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd']
['Predicted label: p', 'x', 'y', 'g', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'n', 'n', 'p', 'w', 'o', 'l', 'h', 'y', 'g']
['Predicted label: e', 's', 'f', 'n', 'f', 'n', 'f', 'c', 'n', 'p', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'y', 'u']
['Predicted label: e', 'x', 'f', 'g', 'f', 'n', 'f', 'c', 'n', 'n', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'y', 'u']
['Predicted label: p', 'x', 'y', 'g', 'f', 'f', 'f', 'c', 'b', 'g', 'e', 'k', 'k', 'n', 'n', 'p', 'w', 'o', 'l', 'h', 'v', 'd']
['Predicted label: p', 'x', 'y', 'y', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'p', 'n', 'p', 'w', 'o', 'l', 'h', 'v', 'd']
['Predicted label: p', 'f', 's', 'e', 'f', 'y', 'f', 'c', 'n', 'b', 't', 'k', 's', 'w', 'p', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: p', 'f', 'y', 'e', 'f', 'f', 'f', 'c', 'n', 'b', 't', 'k', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
['Predicted label: e', 'x', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'p', 't', 's', 's', 'g', 'g', 'p', 'w', 'o', 'p', 'n', 'y', 'd']
['Predicted label: e', 'b', 's', 'w', 'f', 'n', 'f', 'w', 'b', 'w', 'e', 's', 's', 'w', 'w', 'p', 'w', 't', 'p', 'w', 'n', 'g']
['Predicted label: e', 'k', 'f', 'w', 'f', 'n', 'f', 'w', 'b', 'g', 'e', 's', 's', 'w', 'w', 'p', 'w', 't', 'p', 'w', 'n', 'g']
['Predicted label: p', 'x', 'y', 'n', 'f', 'f', 'f', 'c', 'n', 'b', 't', 'k', 'k', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'p']
